"SECONDS";"PID";"VALUE";"UNITS";
"32014.66818";"[BMS] Lowest voltage cell value";"3.318";"V";
"32014.79318";"[BMS] Highest voltage cell #";"8";"";
"32015.08218";"[BMS] Highest voltage cell value";"3.322";"V";
"32015.33018";"[BMS] Charge times";"185";"";
"32015.45518";"Altitude (GPS)";"13.05859375";"m";
"32015.45518";"Average speed (GPS)";"0.447829397778176";"km/h";
"32015.45518";"Speed (GPS)";"0";"km/h";
"32015.46418";"Altitude (GPS)";"2.40000009536743";"m";
"32015.46418";"Average speed (GPS)";"0.447817514075134";"km/h";
"32015.46418";"Speed (GPS)";"0.389193838834763";"km/h";
"32015.52718";"[BMS] Times off full power [second-rate]";"38";"";
"32015.67418";"[BMS] State of charge actual";"77.3";"%";
"32016.45118";"Altitude (GPS)";"13.021484375";"m";
"32016.45118";"Average speed (GPS)";"0.468990694835002";"km/h";
"32016.45118";"Speed (GPS)";"1.36799998283386";"km/h";
"32016.46318";"Altitude (GPS)";"2.40000009536743";"m";
"32016.46318";"Average speed (GPS)";"0.469032798457297";"km/h";
"32016.46318";"Speed (GPS)";"0.619775515794754";"km/h";
"32016.55118";"[BMS] Battery total current";"0";"A";
"32016.72818";"[BMS] Battery total voltage";"664";"V";
"32016.72818";"HV EV Battery Power";"0";"kW";
"32016.86318";"[BMS] Lowest temperature cell value";"30";"℃";
"32016.93818";"Altitude (GPS)";"3.40000009536743";"m";
"32016.93818";"Average speed (GPS)";"0.463893552895515";"km/h";
"32016.93818";"Speed (GPS)";"0";"km/h";
"32016.93918";"Altitude (GPS)";"3.40000009536743";"m";
"32016.93918";"Average speed (GPS)";"0.463888528047951";"km/h";
"32016.93918";"Speed (GPS)";"0";"km/h";
"32016.95018";"Altitude (GPS)";"3.40000009536743";"m";
"32016.95018";"Average speed (GPS)";"0.46394921850546";"km/h";
"32016.95018";"Speed (GPS)";"0.696950554847717";"km/h";
"32017.05018";"[BMS] Highest temperature cell value";"31";"℃";
"32017.45418";"Altitude (GPS)";"13.2724609375";"m";
"32017.45418";"Average speed (GPS)";"0.458627954288375";"km/h";
"32017.45418";"Speed (GPS)";"0";"km/h";
"32017.45918";"Altitude (GPS)";"3.40000009536743";"m";
"32017.45918";"Average speed (GPS)";"0.458641099808977";"km/h";
"32017.45918";"Speed (GPS)";"0.560919535160065";"km/h";
"32018.02418";"[LVBMS] 12V Battery voltage";"13.1";"V";
"32018.39118";"[BMS] Accumulated charge power [Ah]";"7795";"Ah";
"32018.46318";"Altitude (GPS)";"13.26513671875";"m";
"32018.46318";"Average speed (GPS)";"0.448394964750541";"km/h";
"32018.46318";"Speed (GPS)";"0";"km/h";
"32018.47218";"Altitude (GPS)";"13.26513671875";"m";
"32018.47218";"Average speed (GPS)";"0.448299464394022";"km/h";
"32018.47218";"Speed (GPS)";"0";"km/h";
"32018.47718";"Altitude (GPS)";"3.40000009536743";"m";
"32018.47718";"Average speed (GPS)";"0.448306416169525";"km/h";
"32018.47718";"Speed (GPS)";"0.518660205602646";"km/h";
"32018.50818";"[BMS] Accumulated discharge power [Ah]";"7756";"Ah";
"32018.71818";"[BMS] Accumulated charge energy";"4988";"kWh";
"32018.93818";"[BMS] Accumulated discharge energy";"4963";"kWh";
"32019.46018";"Altitude (GPS)";"13.4180908203125";"m";
"32019.46018";"Average speed (GPS)";"0.458749175358196";"km/h";
"32019.46018";"Speed (GPS)";"0.935999965667725";"km/h";
"32019.47518";"Altitude (GPS)";"3.40000009536743";"m";
"32019.47518";"Average speed (GPS)";"0.458786730522817";"km/h";
"32019.47518";"Speed (GPS)";"0.57411841750145";"km/h";
"32020.17518";"[BMS] Lowest voltage cell #";"200";"";
"32020.29018";"[BMS] Lowest voltage cell value";"3.318";"V";
"32020.45718";"Altitude (GPS)";"14.6570434570313";"m";
"32020.45718";"Average speed (GPS)";"0.449179809101917";"km/h";
"32020.45718";"Speed (GPS)";"0";"km/h";
"32020.46718";"[BMS] Highest voltage cell #";"170";"";
"32020.47118";"Altitude (GPS)";"3.40000009536743";"m";
"32020.47118";"Average speed (GPS)";"0.449231517493852";"km/h";
"32020.47118";"Speed (GPS)";"0.621648824214935";"km/h";
"32020.60318";"[BMS] Highest voltage cell value";"3.322";"V";
"32020.75818";"[BMS] Charge times";"185";"";
"32021.00718";"[BMS] Times off full power [second-rate]";"38";"";
"32021.14218";"[BMS] State of charge actual";"77.3";"%";
"32021.45918";"Altitude (GPS)";"15.0311279296875";"m";
"32021.45918";"Average speed (GPS)";"0.48524268626604";"km/h";
"32021.45918";"Speed (GPS)";"2.19600005149841";"km/h";
"32021.46118";"Altitude (GPS)";"15.0311279296875";"m";
